Aeroporto,Anno,Periodo,Zona,Pass_Arrivo,Pass_Partenza
Olbia,2018,S5,03,28137,34406
Olbia,2018,S5,12,30761,35732
Olbia,2018,S5,11,25529,32574
Olbia,2018,S5,02,75999,95506
Olbia,2018,S5,04,8397,9991
Alghero,2018,W1,03 + 04,37008,39123
Alghero,2018,W1,02,27205,28499
Olbia,2018,W1,13 + 14,2127,1860
Olbia,2018,W1,02,37813,39622
Olbia,2018,W1,11 + 12,4759,4950
Olbia,2018,W1,03 + 04,28137,27962
Alghero,2018,W2,02,28090,27958
Alghero,2018,W2,03 + 04,33647,34537
Olbia,2018,W2,13 + 14,3879,5272
Olbia,2018,W2,11 + 12,4591,5928
Olbia,2018,W2,02,33871,32359
Olbia,2018,W2,03 + 04,25336,25954
Alghero,2018,W2,13 + 14,0,184
Alghero,2017,S1,13 + 14,18365,16284
Alghero,2017,S1,02,39501,37182
Alghero,2017,S1,03 + 04,51524,49930
Alghero,2017,S1,12,11739,8915
Olbia,2017,S1,14,44986,37023
Olbia,2017,S1,02,62940,57384
Olbia,2017,S1,11,21993,18782
Olbia,2017,S1,04,3367,3117
Olbia,2017,S1,13,25383,20736
Olbia,2017,S1,03,31612,29012
Olbia,2017,S1,12,14583,11197
Alghero,2017,S2,12,12139,11668
Alghero,2017,S2,13 + 14,11590,9945
Alghero,2017,S2,02,27458,23913
Alghero,2017,S2,03 + 04,28473,26282
Olbia,2017,S2,04,7829,6513
Olbia,2017,S2,03,23415,20256
Olbia,2017,S2,11,22769,20569
Olbia,2017,S2,12,21717,18723
Olbia,2017,S2,02,72567,59358
Olbia,2017,S2,13,27039,23029
Olbia,2017,S2,14,33592,32443
Alghero,2017,S3,13 + 14,17061,15440
Alghero,2017,S3,12,13376,13103
Alghero,2017,S3,03 + 04,29492,28345
Alghero,2017,S3,02,36659,32038
Alghero,2017,S3,11,1131,808
Olbia,2017,S3,02,96621,90258
Olbia,2017,S3,14,42571,39056
Olbia,2017,S3,04,15191,13630
Olbia,2017,S3,11,40264,35922
Olbia,2017,S3,13,36940,33810
Olbia,2017,S3,03,29755,28153
Olbia,2017,S3,12,31759,28958
Alghero,2017,S4,12,12921,13479
Alghero,2017,S4,13 + 14,15638,16555
Alghero,2017,S4,02,33762,36783
Alghero,2017,S4,03 + 04,29456,30940
Alghero,2017,S4,11,666,733
Olbia,2017,S4,11,42181,47388
Olbia,2017,S4,03,30623,32008
Olbia,2017,S4,04,17722,18645
Olbia,2017,S4,14,41454,45650
Olbia,2017,S4,02,91227,97581
Olbia,2017,S4,13,29983,31651
Olbia,2017,S4,12,25526,27653
Alghero,2017,S5,02,38402,47371
Alghero,2017,S5,13 + 14,17432,19110
Alghero,2017,S5,03 + 04,45027,50602
Alghero,2017,S5,12,15168,17859
Alghero,2017,S5,11,173,294
Olbia,2017,S5,13,38925,46800
Olbia,2017,S5,12,26635,31976
Olbia,2017,S5,11,26580,33594
Olbia,2017,S5,14,59019,67870
Olbia,2017,S5,02,74921,96214
Olbia,2017,S5,03,31285,37195
Olbia,2017,S5,04,8428,11010
Alghero,2017,W1,02,28349,29723
Alghero,2017,W1,03 + 04,46769,49627
Olbia,2017,W1,02,36284,37772
Olbia,2017,W1,03 + 04,25848,25548
Olbia,2017,W1,11 + 12,317,293
Olbia,2017,W1,13 + 14,2257,2371
Alghero,2017,W2,03 + 04,31445,32125
Alghero,2017,W2,02,25646,25292
Alghero,2017,W2,13 + 14,360,551
Olbia,2017,W2,02,33799,32759
Olbia,2017,W2,13 + 14,2163,4259
Olbia,2017,W2,11 + 12,4007,4792
Olbia,2017,W2,03 + 04,24208,25271
Alghero,2016,S1,12,10129,7766
Alghero,2016,S1,02,32093,31742
Alghero,2016,S1,13 + 14,15100,13861
Alghero,2016,S1,03 + 04,49788,48975
Olbia,2016,S1,12,8740,6726
Olbia,2016,S1,02,50537,48512
Olbia,2016,S1,03,25836,25466
Olbia,2016,S1,11,23083,19801
Olbia,2016,S1,14,41224,35049
Olbia,2016,S1,04,2410,2002
Olbia,2016,S1,13,17084,13988
Alghero,2016,S2,03 + 04,29928,27678
Alghero,2016,S2,02,24047,21204
Alghero,2016,S2,13 + 14,8735,7779
Alghero,2016,S2,12,11748,11156
Alghero,2016,S2,11,744,469
Olbia,2016,S2,03,22294,19578
Olbia,2016,S2,11,17243,16234
Olbia,2016,S2,14,30949,29919
Olbia,2016,S2,13,22862,18551
Olbia,2016,S2,12,15724,13678
