stop_id,stop_name,stop_lat,stop_lon,stop_comune,stop_type
B_60282,Fermata di NUCHIS CASA DI RECLUSIONE,40.920989,9.146706,TEMPIO PAUSANIA,Fermata Autobus
7202,Fermata di LA MUDDIZZA,40.9091,8.800731,VALLEDORIA,Fermata Autobus
ATPSS_126,Fermata di Via Cilea 9,40.742574,8.548313,SASSARI,Fermata Autobus
L093-14413,Fermata di Via Rinascita SALITA,40.90467967,9.1169694,TEMPIO PAUSANIA,Fermata Autobus
8312859,Stazione di BERCHIDDA,40.77206,9.1812987,BERCHIDDA,Stazione Ferroviaria
ATPSS_673,Fermata di Via Pian De Sorres 12,40.781401,8.409107,SASSARI,Fermata Autobus
B_61891,Fermata di SS 125 LU NURACHEDDU DIREZ. NORD,40.793472,9.656025,SAN TEODORO,Fermata Autobus
B_22235,Fermata di OLMEDO VIA RISORGIMENTO-RIF.,40.6535804,8.3769306,OLMEDO,Fermata Autobus
B_22259,Fermata di ALGHERO VIALE I MAGGIO LO CHALET,40.587347,8.306839,ALGHERO,Fermata Autobus
B_7267,Fermata di SANT'ORSOLA,40.745193,8.530176,SASSARI,Fermata Autobus
ATPSS_221,Fermata di C.So Vittorio Emanuele 72,40.72827,8.559134,SASSARI,Fermata Autobus
ASPO591,Fermata di 591 - San Nicola,40.93202,9.48597,OLBIA,Fermata Autobus
B_7804,Fermata di ARENOSU,40.6075213,8.2782804,ALGHERO,Fermata Autobus
ASPO2025,Fermata di 2025 - S.P. 38bis Bivio Campo di Pino,40.93545,9.42267,OLBIA,Fermata Autobus
ATPSS_207,"Fermata di Via Dei Gremi 21, Inc. Via Cicu",40.724323,8.55274,SASSARI,Fermata Autobus
ATPSS_46,Fermata di Via P. Micca 86,40.735158,8.566539,SASSARI,Fermata Autobus
B_22184,Fermata di OSSI CIMITERO,40.677702,8.594702,OSSI,Fermata Autobus
ATPSS_3009,Fermata di Via Borio 28,40.79902,8.574921,SORSO,Fermata Autobus
ATPSS_8,Fermata di Via Rockefeller 37,40.712951,8.556274,SASSARI,Fermata Autobus
B_61817,Fermata di SP 73 MILMEGGHIU,41.039112,9.498796,OLBIA,Fermata Autobus
ASPO720,Fermata di 720 - Putzolu Rio Caprolu,40.92111,9.41011,OLBIA,Fermata Autobus
ASPO1198,Fermata di 1198 - Via Ferrara civ. 55,40.91146,9.49443,OLBIA,Fermata Autobus
202022,Fermata di Badde Pira,40.602454,9.002993,OZIERI,Fermata Autobus
B_22230,Fermata di SORSO VIA PORTO TORRES,40.7980963,8.5732016,SORSO,Fermata Autobus
ATPSS_212,Fermata di Via Napoli 105,40.716102,8.564163,SASSARI,Fermata Autobus
ATPSS_2092,"Fermata di Via Bassu, Fr. Stazione Marittima",40.838156,8.399934,PORTO TORRES,Fermata Autobus
ATPSS_553,Fermata di Sp18 66,40.735654,8.493524,SASSARI,Fermata Autobus
ATPSS_27,Fermata di Via Prati Fr. 50,40.738012,8.572151,SASSARI,Fermata Autobus
ASPO455,Fermata di 455 - Rudalza int.SP73,40.99113,9.50203,OLBIA,Fermata Autobus
ATPSS_391,"Fermata di Via Poligono, Inc. C.So Pascoli",40.737251,8.56133,SASSARI,Fermata Autobus
ATPSS_3036,"Fermata di Viale Marina, Fronte Madonnina",40.813419,8.563099,SORSO,Fermata Autobus
B_7273,Fermata di PORTO TORRES CENTRO INTERMODALE,40.838343508718,8.398468720118,PORTO TORRES,Fermata Autobus
7583,Fermata di VACCILEDDI,40.84724,9.647491,LOIRI PORTO SAN PAOLO,Fermata Autobus
B_7125,Fermata di LU TRAINEDDU,40.734027,8.515878,SASSARI,Fermata Autobus
ASPO407,Fermata di 407 - Rudalza fr.rist.,40.99684,9.52177,OLBIA,Fermata Autobus
ATPSS_706,"Fermata di Z.I. P.Niedda Str. 5, Fermata 1",40.736985,8.532835,SASSARI,Fermata Autobus
ATPSS_68,Fermata di Via Delle Croci Fr. 3,40.718538,8.552144,SASSARI,Fermata Autobus
202048,Fermata di V.Monserrato ang. Matteotti,40.582319,8.997854,OZIERI,Fermata Autobus
ATPSS_129,"Fermata di Via Solari Fr. 4, Scuola",40.74091,8.556871,SASSARI,Fermata Autobus
800029,Fermata di Stintino (Centro sportivo Sporting),40.960768,8.206914,STINTINO,Fermata Autobus
ATPSS_249,Fermata di Via Duca Degli Abruzzi 4,40.71804,8.57024,SASSARI,Fermata Autobus
6109,Fermata di LA CINTA,40.7848,9.668585,SAN TEODORO,Fermata Autobus
L093-14482,Fermata di Via Episcopio Scuola Media,40.89972783,9.10304817,TEMPIO PAUSANIA,Fermata Autobus
202025,Fermata di Via Aldo Moro,40.61125,8.988689,OZIERI,Fermata Autobus
5096,Fermata di SAN TEODORO,40.77296,9.665645,SAN TEODORO,Fermata Autobus
B_7528,Fermata di NUCHIS,40.917462,9.151876,TEMPIO PAUSANIA,Fermata Autobus
ASPO454,Fermata di 454 - SP73,40.98644,9.50036,OLBIA,Fermata Autobus
B_61785,Fermata di SS 125 PILIERZU,40.993959,9.462978,OLBIA,Fermata Autobus
ASPO688,Fermata di 688 - S. Lucia fr.Del Grano,40.93003,9.44994,OLBIA,Fermata Autobus
B_61766,Fermata di OLBIA VIA ROMA 81-SACRA FAMIGLIA,40.915872,9.498509,OLBIA,Fermata Autobus
7026,Fermata di POZZOMAGGIORE,40.39779,8.65865,POZZOMAGGIORE,Fermata Autobus
B_22175,Fermata di POZZOMAGGIORE VIA GRANDE 18,40.401901,8.663755,POZZOMAGGIORE,Fermata Autobus
ATPSS_601,Fermata di Via De Martini Fr. 235,40.785262,8.493716,SASSARI,Fermata Autobus
B_17026,Fermata di SP 44 CIVICO 85,40.613319,8.296772,ALGHERO,Fermata Autobus
7174,Fermata di TERGU CHIESA,40.87029,8.720032,TERGU,Fermata Autobus
ASPO2084,Fermata di 2084 - Via San Vittore Fronte Via Plebi,40.958071,9.475571,OLBIA,Fermata Autobus
ATPSS_406,Fermata di Sv Baddelonga 67,40.796536,8.505051,SASSARI,Fermata Autobus
ASPO2095,Fermata di 2095 - Via Monte Rosa 5,40.9226,9.48318,OLBIA,Fermata Autobus
800287,Fermata di S.Pancrazio,40.891361,9.033049,BORTIGIADAS,Fermata Autobus
ATPSS_15,Fermata di Via Caniga 1,40.72766,8.546882,SASSARI,Fermata Autobus
800105,Fermata di Perfugas (V. Sciesa),40.835122,8.883788,PERFUGAS,Fermata Autobus
B_6142,Fermata di L`AGLIULEDDA,41.0500165,9.2379267,LUOGOSANTO,Fermata Autobus
B_22173,Fermata di SENNORI VIA 28 APRILE 1,40.783396,8.587239,SENNORI,Fermata Autobus
ATPSS_450,Fermata di Ss 131 Civ. 3,40.754641,8.509772,SASSARI,Fermata Autobus
ATPSS_442,Fermata di Via Camboni Fr. 17,40.749203,8.514189,SASSARI,Fermata Autobus
ATPSS_134,Fermata di Via Brigata Sassari 5 (Portici),40.72592,8.562587,SASSARI,Fermata Autobus
M_9605,Metro di PORTA UTZERI-R,40.725449,8.555207,SASSARI,Fermata Metropolitana
ATPSS_410,Fermata di Sv Baddelonga 27,40.789613,8.50961,SASSARI,Fermata Autobus
ATPSS_2065,Fermata di Via Mare Fr. 12,40.838825,8.402061,PORTO TORRES,Fermata Autobus
B_7744,Fermata di MONTE TIMIDONE,40.6203487,8.1924169,ALGHERO,Fermata Autobus
B_60028,Fermata di SP 74 PISCIA FUCHILI,40.9462772,9.053677,AGGIUS,Fermata Autobus
ATPSS_399,Fermata di Via Degli Astronauti 3,40.726943,8.575872,SASSARI,Fermata Autobus
B_60415,Fermata di LACONIA VIA MONTICORRU HOTEL VILLA DEL GOLFO,41.118695,9.439762,ARZACHENA,Fermata Autobus
B_7341,Fermata di MONTELEONE ROCCA DORIA,40.471304,8.560732,MONTELEONE ROCCA DORIA,Fermata Autobus
ATPSS_431,"Fermata di Via P.Niedda, Cimitero",40.728584,8.549369,SASSARI,Fermata Autobus
B_22172,Fermata di SENNORI VIA ROSSELLI-INCROCIO VIA MARONGIU,40.782162,8.591198,SENNORI,Fermata Autobus
